score,date,content,writer_id,like_count,dislike_count,source
10,2026.06.05 15:21,방금 영화 끝나고 복도 나왔는데 순간 백룸인 줄 알고 흠칫함; 당분간 노란 조명 켜진 텅 빈 공간은 못 가겠다 진짜로,nrsy****,1,13,관람객
7,2026.06.05 15:17,고어물인줄 몰랐습니다,kms0****,4,4,관람객
10,2026.06.05 15:08,영화 끝나고 주차장 내려왔는데 주차장 기둥들이 순간 백룸처럼 보여서 기절할 뻔... 당분간 텅 빈 지하 공간은 절대 못 갈 듯,kwag****,0,9,관람객
10,2026.06.05 14:29,귀신 나와서 소리 지르는 영화보다 이런 게 진짜 무서운거임...눈 감아도 소용없고 정신을 말려버림,ch05****,2,8,관람객
10,2026.06.05 14:29,전국 방탈출 매니아들 이 영화로 정모해야 됨 연출이 진짜 똑똑해서 단서 하나하나 같이 쫓아가게 만듦,tjdg****,2,9,관람객
10,2026.06.05 14:17,"귀신 나와서 왁!!! 하는 건 보고 나면 까먹는데, 이런 심리 압박형 공포는 상영관 문 열고 나올 때부터 진짜 시작임",whdm****,4,6,관람객
10,2026.06.05 13:54,인터넷 백룸 감성 좋아하는 힙스터들 무조건 환장함 시각적 카타르시스 진짜 지리네,9biz****,3,6,관람객
10,2026.06.05 13:52,주인공이랑 같이 가위눌린 기분임ㅋㅋㅋ 탈출각 날카롭게 재면서 보다가 머리 쥐나는 줄 알았다,dh06****,0,6,관람객
10,2026.06.05 13:42,영화 끝나고 극장 엘리베이터 타는데 순간 문 안 열릴 것 같아서 심장 쿵쾅거림 후유증 대박이다,dh68****,0,5,관람객
10,2026.06.05 13:40,고어 영화는 잔인해서 불쾌한데 이건 그냥 상황 자체가  기분 나쁘고 기괴함 근데 묘하게 계속 보게 됨,sodo****,1,3,관람객
10,2026.06.05 12:49,공간이 주는 기괴함이 ㄹㅇ 미쳤음 사방이 벽인데 숨막혀서 중간에 나갈까 진심으로 고민했다,sena****,0,3,관람객
8,2026.06.05 01:42,"긴장감 있고, 괜찮은 영화임.",ljsk****,2,2,관람객
10,2026.06.04 23:45,진짜 스크린 안으로 빨려 들어가는 줄... 나중엔 나도 주인공이랑 같이 숨 참으면서 단서 찾고 있더라ㅋㅋㅋ,eldh****,1,2,관람객
7,2026.06.04 23:08,내면의 심연을 미지의 공간으로 표현하는 뛰어난 상상력과 긴장감,breg****,3,1,관람객
10,2026.06.04 21:43,영화 시작할 때 콜라 한 모금 마시고 엔딩 크레딧 올라갈 때까지 손도 못 댐... 몰입감 진짜 미친놈임,mila****,1,2,관람객
10,2026.06.04 21:40,킬링타임으로 봤는데 재밌었어요!! 무서운거 좋아하시고 영화 좋아하시면 추천!,12hy****,2,2,관람객
10,2026.06.04 19:51,방탈출 매니아들은 이거 보면 백퍼 심장 뜀연출이 진짜 영리해서 스케일 큰 방탈출 테마 하나 제대로 깨고 나온 기분임,quee****,1,2,관람객
10,2026.06.04 19:42,소리만 지르는 뻔한 깜놀 영화들 싹 다 반성해야 됨 피 한 방울 안 묻히고 사람 정신을 이렇게 말려 죽일 수가 있네,dkdh****,1,2,관람객
10,2026.06.04 17:11,대놓고 ‘나 무섭지?’ 하면서 귀신 튀어나오는 양산형 공포 영화에 질린 사람들 제발 이거 보셈 결이 아예 다름,kell****,3,3,관람객
10,2026.06.04 15:38,평소에 리미널 스페이스나 백룸 감성 좋아하면 무조건 취향 저격임 연출 변태같이 잘함,ange****,1,3,관람객
10,2026.06.04 15:08,재밌게 잘 보고 왔어요 기대 안했는데 존잼이였어요 두시간 술술 지나감 개인적으로 군체보다 더 재미있었음 기대의 차이가 달라서 그럴수도,cuti****,1,2,관람객
10,2026.06.04 14:49,자극적인 맛 하나도 없는데 오직 연출이랑 분위기만으로 극장 안을 얼려버림 간만에 돈 안 아까운 진짜 공포 영화다,jhj9****,1,2,관람객
10,2026.06.04 14:32,주인공이 삽질할 때마다 속터지는데 또 내가 저 상황이면 저랬겠다 싶어서 대가리 빡빡 치면서 봄,yebi****,1,2,관람객
2,2026.06.04 14:26,기승전결에 기승만 있음 ㅈㄴ게 질질끔 영화관 뛰쳐나가고싶은거 그래도 뒤에 뭐가 있겠지하고 참았는데 뭐 없음 그나마 봐줄만한건 창의성정도? 세상에 재밌는 영화가 얼마나 많은데 이게 재밌다고하냐 절대 8점대 영화아님 댓글알바 많이 푸시나봄ㅎ,char****,62,30,관람객
10,2026.06.04 14:20,묘하게 기분 나쁘고 불쾌한데 끝까지 보게 만드는 중독성이 장난 아님 감독이 공간 변태인 게 확실함,lili****,2,3,관람객
10,2026.06.04 14:19,비주얼이 진짜 미쳤음 인터넷 짤로만 보던 그 이상하고 기괴한 공간감을 스크린으로 대리 체험하는 느낌,gdej****,0,3,관람객
10,2026.06.04 14:04,진짜 스크린 안으로 빨려 들어가는 줄... 나중엔 나도 주인공이랑 같이 숨 참으면서 단서 찾고 있더라ㅋㅋㅋ,ghkd****,0,4,관람객
10,2026.06.04 13:56,"잔인한 장면은 눈 감으면 그만인데, 이건 눈을 뜨고 있는데도 사방이 다 막혀있으니까 탈출구가 안 보여서 미치겠음",bjh7****,0,4,관람객
6,2026.06.04 13:28,백룸 무슨말을 하고싶은지 모르겠으나 그냥저냥봤어요,tkdd****,9,4,관람객
10,2026.06.04 13:21,"빽룸에 대한 지식을 전혀 모르고도 집중하여 몰입할수 있었습니다.예전에 본 끊임없이 이어져있는 큐브를 탈출하던 영화가 생각났습니다.영화가 끝난순간은 다시금 빽룸이 가지고 있는 의미에 대해 생각해야 했습니다. 쫌,,난해하긴함..엘베를 같이 탄 여고생 두명이 하는 말이 기억에 남네요.무슨 내용인지 모르겠어.... 여기가 백룸인거 같애...영화가",9927****,0,3,관람객
