movie,site,rating,review,date
백룸,megabox,8,해석을 먼저 찾아보고 관람하세요 그러면 깊이 생각해 볼 수 있는 영화입니다 인간의 트라우마에 대해서~~,2026.07.03
백룸,megabox,8,내용이 어렵고 약간 심심한 느낌을 받음,2026.07.03
백룸,megabox,10,이해는 잘 안됨 ㅠ,2026.07.03
백룸,megabox,10,흥미롭고 재밌었다.,2026.07.03
백룸,megabox,7,기괴하고 백룸공간에 대해 생각해보았다.그러나 너무 기대했나? 그정도,2026.07.03
백룸,megabox,10,즐거움. 무서움. 긴장감. 썰레임,2026.07.03
백룸,megabox,8,나쁘진 않음. 결말까지 지루하지 않음. 근데 설명이 충분히 안된 부분이 많아서 해석이 안됨. 곡성 본것 같은 느낌인데 인터넷에 더 알아보고 싶은 정도는 아님.,2026.07.03
백룸,megabox,10,너무 재미있엇아욬ㅋ,2026.07.02
백룸,megabox,3,"인간 심리를 다루고 싶은건지, 공포영화를 만들고 싶은건지 모르겠음. 죽도 아니고 밥도 아님",2026.07.02
백룸,megabox,8,재밌게 잘봤습니다 오늘 하루 잘 다녀오시오,2026.07.02
백룸,megabox,9,백룸을 좋아하시는 분들이 좋아하실 것 같아요! 잘 모르는 저는 잘 모르겠습니당..,2026.07.02
백룸,megabox,10,미스테리한 영화는 오랜만에 봅니다~♣︎ 다소 이해가 안 되었지만 잘보고 갑니다~♠︎♠︎,2026.07.02
백룸,megabox,10,한 번쯤 볼 만 한것 같아요,2026.07.02
백룸,megabox,8,마지막 장면 때문에 생각을 많이 하게 됨 ㄷㄷ,2026.07.02
백룸,megabox,8,재미있어요 재미있어요,2026.07.02
백룸,megabox,10,무슨이야기인지 모르겠다.,2026.07.02
백룸,megabox,9,다양한 감상이 가능한 영화,2026.07.02
백룸,megabox,8,백룸과 호러의 합작품,2026.07.02
백룸,megabox,8,생각했던 것과 다른 장르의 영화였네요^^;;,2026.07.02
백룸,megabox,7,진짜 시간이 너무 빠르게 가는영화,2026.07.02
백룸,megabox,2,신선한 스토리 ..,2026.07.02
백룸,megabox,10,기묘한데 너무너무 재밌어요 리미널스페이스 취저 ㅜㅜ,2026.07.02
백룸,megabox,9,"백룸의 분위기를 좋아하면 추천, 스토리는 크게 재밌는 류는 아니지만 전하고자 하는 메시지는 담겨있다,,",2026.07.01
백룸,megabox,10,인간의 가장 큰 적은 인간이다,2026.07.01
백룸,megabox,10,엄청난 몰입감..!!,2026.07.01
백룸,megabox,6,처음과 중간은 좋았으나 끝 마무리가 아쉬웠음,2026.07.01
백룸,megabox,10,브금때문에 몰입감도 높았고 진짜 본 영화 중에 분위기때문인지 제일 무서웠어요…ㅋㅋㅋㅋ 근데 재밌는건 진짜 재밌었습니다!,2026.07.01
백룸,megabox,10,악몽 같은 신기한 영화,2026.07.01
백룸,megabox,9,특별한 소재로 치밀한 연출과 배우들의 연기가 뛰어났어요. 처음부터 끝까지 집중하게 되는 작품입니다.,2026.07.01
백룸,megabox,8,이 영화는 2번 3번 보고 이해해야,2026.07.01
