별점,날짜,내용,정제된_내용,요일,리뷰길이,tfidf_같아요,tfidf_공간이,tfidf_너무,tfidf_만드는,tfidf_만큼,tfidf_무서움,tfidf_백룸,tfidf_백룸에,tfidf_봤는데,tfidf_봤습니다,tfidf_영화,tfidf_이상한,tfidf_이해하기,tfidf_재밌게,tfidf_주인공이,tfidf_죽을,tfidf_중간에,tfidf_중독되며,tfidf_중반부터,tfidf_지루해도,tfidf_지루했어요,tfidf_직접,tfidf_진짜로요,tfidf_찝찝했지만,tfidf_차분히,tfidf_참고,tfidf_창조자가,tfidf_초반엔,tfidf_최고,tfidf_최악입니다
8,2026-07-17,재밌긴 재밌는데 살짝 이해가 안되는것 같기도 합니다,재밌긴 재밌는데 살짝 이해가 안되는것 같기도 합니다,Friday,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-07-17,심오하고 어렵습니다,심오하고 어렵습니다,Friday,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-17,재밌게 잘 봤습니다 :),재밌게 잘 봤습니다,Friday,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-17,재미있고 흥미로워요,재미있고 흥미로워요,Friday,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-17,인간의 원초적인 공포는 미지에서로부터 온다,인간의 원초적인 공포는 미지에서로부터 온다,Friday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-07-17,나름 분위기있고 오싹오싹,나름 분위기있고 오싹오싹,Friday,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-07-17,멀미 유발 영화… 소재말곤 볼 게 없음,멀미 유발 영화 소재말곤 볼 게 없음,Friday,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-07-17,백룸은 뭐랄까. 감독이 어떤 이야기를 전하고 싶었던 걸까 생각하게 만드는 영화다. 젊은 감독인 만큼 독특한 결말을 선택해서 신선한 감도 있다. 약간은 찝찝했지만 차분히 보기 좋다,백룸은 뭐랄까 감독이 어떤 이야기를 전하고 싶었던 걸까 생각하게 만드는 영화다 젊은 감독인 만큼 독특한 결말을 선택해서 신선한 감도 있다 약간은 찝찝했지만 차분히 보기 좋다,Friday,99,0.0,0.0,0.0,0.4744119582552431,0.4744119582552431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5243408184229276,0.5243408184229276,0.0,0.0,0.0,0.0,0.0
10,2026-07-17,3번 봤습니다. 1번만 봐도 다 이해할 수 있지만 전 재밌게 봐서 그녕 2번 더 봤습니다. 왕추천,번 봤습니다 번만 봐도 다 이해할 수 있지만 전 재밌게 봐서 그녕 번 더 봤습니다 왕추천,Friday,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8944271909999159,0.0,0.0,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-17,종일 엄마 손에 끌려 이케아를 헤매던 조카가 돌아오는 차 안에서 유튜브를 보다가 잠이 들면 저런 꿈을 꿀 것이다,종일 엄마 손에 끌려 이케아를 헤매던 조카가 돌아오는 차 안에서 유튜브를 보다가 잠이 들면 저런 꿈을 꿀 것이다,Friday,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
